
Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
14,Sat,2021-12-04,15:30,Leverkusen,2.8,7–1,0.3,Greuther Fürth,10,455,BayArena,Tobias Reichel,Match Report,
14,Sat,2021-12-04,15:30,Arminia,1.1,1–1,1.1,Köln,8,231,SchücoArena,Felix Brych,Match Report,
14,Sat,2021-12-04,15:30,Hoffenheim,0.9,3–2,1.5,Eint Frankfurt,750,0,PreZero Arena,Daniel Schlager,Match Report,
14,Sat,2021-12-04,15:30,Augsburg,2.9,2–3,2.1,Bochum,,WWK Arena,Deniz Aytekin,Match Report,
14,Sat,2021-12-04,15:30,Mainz 05,1.2,3–0,0.7,Wolfsburg,10,000,Mewa Arena,Florian Badstübner,Match Report,
14,Sat,2021-12-04,18:30,Dortmund,1.2,2–3,3.1,Bayern Munich,15,000,Signal Iduna Park,Felix Zwayer,Match Report,
14,Sun,2021-12-05,15:30,Stuttgart,1.4,2–2,1.3,Hertha BSC,395,0,Mercedes-Benz Arena,Benjamin Brand,Match Report,
14,Sun,2021-12-05,17:30,M'Gladbach,0.9,0–6,2.0,Freiburg,10,025,Stadion im Borussia-Park,Robert Hartmann,Match Report,
15,Fri,2021-12-10,20:30,Köln,1.0,0–2,0.8,Augsburg,15,000,RheinEnergieSTADION,Patrick Ittrich,Match Report,
15,Sat,2021-12-11,15:30,Hertha BSC,2.0,2–0,0.5,Arminia,5,000,Olympiastadion Berlin,Tobias Welz,Match Report,
15,Sat,2021-12-11,15:30,Bayern Munich,1.6,2–1,0.8,Mainz 05,750,0,Allianz Arena,Benjamin Cortus,Match Report,
15,Sat,2021-12-11,15:30,Freiburg,1.6,1–2,1.0,Hoffenheim,750,0,Europa-Park Stadion,Frank Willenborg,Match Report,
15,Sat,2021-12-11,15:30,RB Leipzig,4.7,4–1,1.2,M'Gladbach,,Red Bull Arena,Bastian Dankert,Match Report,
15,Sat,2021-12-11,15:30,Bochum,0.9,1–1,2.3,Dortmund,13,799,Vonovia Ruhrstadion,Matthias Jöllenbeck,Match Report,
15,Sat,2021-12-11,18:30,Wolfsburg,1.5,0–2,1.2,Stuttgart,5,000,Volkswagen Arena,Sascha Stegemann,Match Report,
15,Sun,2021-12-12,15:30,Greuther Fürth,0.7,1–0,1.4,Union Berlin,0,0,Sportpark Ronhof Thomas Sommer,Sven Jablonski,Match Report,
15,Sun,2021-12-12,17:30,Eint Frankfurt,1.6,5–2,1.7,Leverkusen,12,000,Deutsche Bank Park,Marco Fritz,Match Report,
16,Tue,2021-12-14,18:30,Stuttgart,1.2,0–5,3.5,Bayern Munich,750,0,Mercedes-Benz Arena,Robert Schröder,Match Report,
16,Tue,2021-12-14,20:30,Wolfsburg,2.4,2–3,3.1,Köln,5,000,Volkswagen Arena,Robert Hartmann,Match Report,
16,Tue,2021-12-14,20:30,Arminia,0.7,2–0,0.9,Bochum,13,750,SchücoArena,Benjamin Brand,Match Report,
16,Tue,2021-12-14,20:30,Mainz 05,2.9,4–0,0.4,Hertha BSC,10,000,Mewa Arena,Harm Osmers,Match Report,
16,Wed,2021-12-15,18:30,M'Gladbach,2.0,2–3,2.3,Eint Frankfurt,10,028,Stadion im Borussia-Park,Martin Petersen,Match Report,
16,Wed,2021-12-15,20:30,Leverkusen,2.2,2–2,2.0,Hoffenheim,13,272,BayArena,Tobias Stieler,Match Report,
16,Wed,2021-12-15,20:30,Union Berlin,1.7,0–0,1.2,Freiburg,5,000,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,
16,Wed,2021-12-15,20:30,Dortmund,1.8,3–0,0.4,Greuther Fürth,15,000,Signal Iduna Park,Daniel Schlager,Match Report,
16,Wed,2021-12-15,20:30,Augsburg,1.2,1–1,2.2,RB Leipzig,,WWK Arena,Florian Badstübner,Match Report,
17,Fri,2021-12-17,20:30,Bayern Munich,3.6,4–0,1.0,Wolfsburg,,Allianz Arena,Tobias Welz,Match Report,
17,Sat,2021-12-18,15:30,Bochum,1.1,0–1,0.8,Union Berlin,13,500,Vonovia Ruhrstadion,Tobias Reichel,Match Report,
17,Sat,2021-12-18,15:30,Greuther Fürth,0.1,0–0,1.2,Augsburg,500,0,Sportpark Ronhof Thomas Sommer,Sascha Stegemann,Match Report,
17,Sat,2021-12-18,15:30,RB Leipzig,1.6,0–2,0.8,Arminia,,Red Bull Arena,Frank Willenborg,Match Report,
17,Sat,2021-12-18,15:30,Hoffenheim,2.1,1–1,1.3,M'Gladbach,750,0,PreZero Arena,Sven Jablonski,Match Report,
17,Sat,2021-12-18,15:30,Eint Frankfurt,1.8,1–0,0.6,Mainz 05,15,000,Deutsche Bank Park,Felix Brych,Match Report,
17,Sat,2021-12-18,18:30,Hertha BSC,1.2,3–2,1.3,Dortmund,5,000,Olympiastadion Berlin,Marco Fritz,Match Report,
17,Sun,2021-12-19,15:30,Freiburg,2.1,2–1,0.8,Leverkusen,750,Europa-Park Stadion,Benjamin Cortus,Match Report,
17,Sun,2021-12-19,17:30,Köln,2.0,1–0,0.4,Stuttgart,15,000,RheinEnergieSTADION,Bastian Dankert,Match Report,
18,Fri,2022-01-07,20:30,Bayern Munich,1.9,1–2,1.0,M'Gladbach,750,0,Allianz Arena,Daniel Siebert,Match Report,
18,Sat,2022-01-08,15:30,Freiburg,1.8,2–2,1.0,Arminia,750,0,Europa-Park Stadion,Harm Osmers,Match Report,
18,Sat,2022-01-08,15:30,Leverkusen,1.6,2–2,2.7,Union Berlin,750,0,BayArena,Matthias Jöllenbeck,Match Report,
18,Sat,2022-01-08,15:30,RB Leipzig,2.9,4–1,0.3,Mainz 05,750,0,Red Bull Arena,Deniz Aytekin,Match Report,
18,Sat,2022-01-08,15:30,Hoffenheim,2.2,3–1,0.9,Augsburg,500,0,PreZero Arena,Benjamin Cortus,Match Report,
18,Sat,2022-01-08,15:30,Greuther Fürth,0.9,0–0,1.9,Stuttgart,750,0,Sportpark Ronhof Thomas Sommer,Felix Brych,Match Report,
18,Sat,2022-01-08,18:30,Eint Frankfurt,1.4,2–3,2.0,Dortmund,250,Deutsche Bank Park,Robert Schröder,Match Report,
18,Sun,2022-01-09,15:30,Hertha BSC,1.2,1–3,1.2,Köln,3,000,Olympiastadion Berlin,Tobias Stieler,Match Report,
18,Sun,2022-01-09,17:30,Bochum,0.9,1–0,0.4,Wolfsburg,750,0,Vonovia Ruhrstadion,Daniel Schlager,Match Report,
19,Fri,2022-01-14,20:30,Dortmund,2.4,5–1,0.9,Freiburg,750,0,Signal Iduna Park,Florian Badstübner,Match Report,
19,Sat,2022-01-15,15:30,Stuttgart,1.0,0–2,1.5,RB Leipzig,500,Mercedes-Benz Arena,Daniel Schlager,Match Report,
19,Sat,2022-01-15,15:30,Union Berlin,1.3,2–1,0.8,Hoffenheim,3,000,Stadion An der Alten Försterei,Martin Petersen,Match Report,
19,Sat,2022-01-15,15:30,Köln,1.0,0–4,3.3,Bayern Munich,1,000,RheinEnergieSTADION,Tobias Welz,Match Report,
19,Sat,2022-01-15,15:30,Mainz 05,1.7,1–0,1.5,Bochum,1,000,Mewa Arena,Frank Willenborg,Match Report,
19,Sat,2022-01-15,15:30,Wolfsburg,1.7,0–0,0.3,Hertha BSC,500,0,Volkswagen Arena,Robert Hartmann,Match Report,
19,Sat,2022-01-15,18:30,M'Gladbach,1.2,1–2,5.3,Leverkusen,750,0,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
19,Sun,2022-01-16,15:30,Augsburg,1.0,1–1,2.6,Eint Frankfurt,750,0,WWK Arena,Sven Jablonski,Match Report,
19,Sun,2022-01-16,17:30,Arminia,0.5,2–2,0.7,Greuther Fürth,750,SchücoArena,Christian Dingert,Match Report,
20,Fri,2022-01-21,20:30,Eint Frankfurt,1.9,0–2,1.3,Arminia,1,000,Deutsche Bank Park,Tobias Reichel,Match Report,
20,Sat,2022-01-22,15:30,Leverkusen,2.8,5–1,1.5,Augsburg,750,BayArena,Daniel Schlager,Match Report,
20,Sat,2022-01-22,15:30,M'Gladbach,1.5,1–2,1.1,Union Berlin,750,Stadion im Borussia-Park,Felix Brych,Match Report,
20,Sat,2022-01-22,15:30,Greuther Fürth,1.3,2–1,1.7,Mainz 05,750,0,Sportpark Ronhof Thomas Sommer,Robert Schröder,Match Report,
20,Sat,2022-01-22,15:30,Hoffenheim,1.7,2–3,1.6,Dortmund,500,PreZero Arena,Deniz Aytekin,Match Report,
20,Sat,2022-01-22,15:30,Freiburg,1.6,2–0,0.3,Stuttgart,500,Europa-Park Stadion,Tobias Stieler,Match Report,
20,Sat,2022-01-22,18:30,Bochum,1.8,2–2,1.1,Köln,750,Vonovia Ruhrstadion,Matthias Jöllenbeck,Match Report,
20,Sun,2022-01-23,15:30,RB Leipzig,1.5,2–0,0.8,Wolfsburg,1,000,Red Bull Arena,Daniel Siebert,Match Report,
20,Sun,2022-01-23,17:30,Hertha BSC,0.9,1–4,5.5,Bayern Munich,3,000,Olympiastadion Berlin,Bastian Dankert,Match Report,
21,Fri,2022-02-04,20:30,Hertha BSC,0.4,1–1,1.1,Bochum,3,000,Olympiastadion Berlin,Marco Fritz,Match Report,
21,Sat,2022-02-05,15:30,Stuttgart,1.5,2–3,1.1,Eint Frankfurt,10,000,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
21,Sat,2022-02-05,15:30,Arminia,0.5,1–1,2.0,M'Gladbach,10,000,SchücoArena,Benjamin Cortus,Match Report,
21,Sat,2022-02-05,15:30,Köln,1.0,1–0,0.7,Freiburg,10,000,RheinEnergieSTADION,Felix Brych,Match Report,
21,Sat,2022-02-05,15:30,Augsburg,1.8,2–0,1.7,Union Berlin,7,600,WWK Arena,Harm Osmers,Match Report,
21,Sat,2022-02-05,15:30,Mainz 05,2.2,2–0,1.6,Hoffenheim,6,800,Mewa Arena,Christian Dingert,Match Report,
21,Sat,2022-02-05,18:30,Bayern Munich,3.1,3–2,2.1,RB Leipzig,10,000,Allianz Arena,Sven Jablonski,Match Report,
21,Sun,2022-02-06,15:30,Dortmund,1.7,2–5,2.0,Leverkusen,10,000,Signal Iduna Park,Daniel Siebert,Match Report,
21,Sun,2022-02-06,17:30,Wolfsburg,2.4,4–1,1.1,Greuther Fürth,500,0,Volkswagen Arena,Martin Petersen,Match Report,
