Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
33,Sun,2023-05-21,15:30 (16:30),Vitória,1.4,1–0,0.7,Gil Vicente FC,22733,Estádio Dom Afonso Henriques,Manuel Mota,Match Report,
33,Sun,2023-05-21,18:00 (19:00),Paços,2.3,3–1,1.7,Rio Ave,2032,Estádio da Capital do Móvel,Hélder Malheiro,Match Report,
33,Sun,2023-05-21,18:00 (19:00),Casa Pia,4.2,2–2,1.4,Estoril,302,Estádio Nacional,Carlos Macedo,Match Report,
33,Sun,2023-05-21,20:30 (21:30),Sporting CP,2.4,2–2,2.2,Benfica,39348,Estádio José Alvalade,João Pinheiro,Match Report,
34,Fri,2023-05-26,19:00 (20:00),Rio Ave,1.6,2–2,1.5,Famalicão,3037,Estádio do Rio Ave Futebol Clube,Carlos Macedo,Match Report,
34,Fri,2023-05-26,21:15 (22:15),Vizela,0.5,1–2,1.0,Sporting CP,3309,Estádio Do Vizela,Cláudio Ruivo Pereira,Match Report,
34,Sat,2023-05-27,12:45 (13:45),Gil Vicente FC,1.4,1–0,0.8,Casa Pia,2272,Estádio Cidade de Barcelos,Hélder Malheiro,Match Report,
34,Sat,2023-05-27,15:30 (16:30),Estoril,1.6,3–1,1.7,Marítimo,2736,Estádio António Coimbra da Mota,Ricardo Baixinho,Match Report,
34,Sat,2023-05-27,15:30 (16:30),Chaves,0.9,1–4,2.2,Boavista,3135,Estádio Municipal Eng. Manuel Branco Tei...,Hélder Carvalho,Match Report,
34,Sat,2023-05-27,18:00 (19:00),Benfica,2.4,3–0,1.0,Santa Clara,64012,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,
34,Sat,2023-05-27,18:00 (19:00),Portimonense,1.6,0–2,1.5,Arouca,867,Estádio do Portimonense SC,Vítor Ferreira,Match Report,
34,Sat,2023-05-27,18:00 (19:00),Porto,2.4,3–0,0.7,Vitória,42417,Estádio Do Dragão,Artur Soares Dias,Match Report,
34,Sat,2023-05-27,20:30 (21:30),Braga,2.0,3–0,0.7,Paços,14481,Estádio Municipal de Braga,Manuel Mota,Match Report
