Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
9,Sat,2020-11-28,15:30,Union Berlin,2.4,3–3,1.4,Eint Frankfurt,Stadion An der Alten Försterei,Tobias Reichel,Match Report,
9,Sat,2020-11-28,15:30,Dortmund,3.0,1–2,1.5,Köln,Signal Iduna Park,Benjamin Brand,Match Report,
9,Sat,2020-11-28,15:30,Augsburg,0.5,1–1,0.8,Freiburg,WWK Arena,Robert Schröder,Match Report,
9,Sat,2020-11-28,18:30,M'Gladbach,3.0,4–1,0.9,Schalke 04,Stadion im Borussia-Park,Manuel Gräfe,Match Report,
9,Sun,2020-11-29,15:30,Leverkusen,1.2,0–0,0.6,Hertha BSC,BayArena,Daniel Schlager,Match Report,
9,Sun,2020-11-29,18:00,Mainz 05,1.6,1–1,1.1,Hoffenheim,Opel Arena,Sascha Stegemann,Match Report,
10,Fri,2020-12-04,20:30,Hertha BSC,0.7,3–1,0.3,Union Berlin,Olympiastadion Berlin,Felix Brych,Match Report,
10,Sat,2020-12-05,15:30,Eint Frankfurt,1.0,1–1,1.1,Dortmund,Deutsche Bank Park,Guido Winkmann,Match Report,
10,Sat,2020-12-05,15:30,Köln,1.1,2–2,1.9,Wolfsburg,RheinEnergieSTADION,Sven Jablonski,Match Report,
10,Sat,2020-12-05,15:30,Arminia,1.2,2–1,2.8,Mainz 05,SchücoArena,Marco Fritz,Match Report,
10,Sat,2020-12-05,15:30,Freiburg,3.6,2–2,1.5,M'Gladbach,Schwarzwald-Stadion,Tobias Stieler,Match Report,
10,Sat,2020-12-05,18:30,Bayern Munich,1.0,3–3,1.5,RB Leipzig,Allianz Arena,Daniel Siebert,Match Report,
10,Sun,2020-12-06,15:30,Werder Bremen,0.7,1–2,2.2,Stuttgart,Weserstadion,Frank Willenborg,Match Report,
10,Sun,2020-12-06,18:00,Schalke 04,1.4,0–3,2.5,Leverkusen,Veltins-Arena,Benjamin Cortus,Match Report,
10,Mon,2020-12-07,20:30,Hoffenheim,1.5,3–1,0.9,Augsburg,PreZero Arena,Florian Badstübner,Match Report,
11,Fri,2020-12-11,20:30,Wolfsburg,2.9,2–1,1.5,Eint Frankfurt,Volkswagen Arena,Markus Schmidt,Match Report,
11,Sat,2020-12-12,15:30,Mainz 05,1.7,0–1,0.8,Köln,Opel Arena,Felix Zwayer,Match Report,
11,Sat,2020-12-12,15:30,Freiburg,2.4,2–0,0.2,Arminia,Schwarzwald-Stadion,Harm Osmers,Match Report,
11,Sat,2020-12-12,15:30,Dortmund,0.9,1–5,3.1,Stuttgart,Signal Iduna Park,Christian Dingert,Match Report,
11,Sat,2020-12-12,15:30,RB Leipzig,2.4,2–0,0.6,Werder Bremen,Red Bull Arena,Sören Storks,Match Report,
11,Sat,2020-12-12,15:30,M'Gladbach,1.7,1–1,0.4,Hertha BSC,Stadion im Borussia-Park,Robert Hartmann,Match Report,
11,Sat,2020-12-12,18:30,Union Berlin,1.3,1–1,1.1,Bayern Munich,Stadion An der Alten Försterei,Bastian Dankert,Match Report,
11,Sun,2020-12-13,15:30,Augsburg,1.4,2–2,2.3,Schalke 04,WWK Arena,Manuel Gräfe,Match Report,
11,Sun,2020-12-13,18:00,Leverkusen,2.2,4–1,1.6,Hoffenheim,BayArena,Martin Petersen,Match Report,
12,Tue,2020-12-15,18:30,Eint Frankfurt,1.9,3–3,1.4,M'Gladbach,Deutsche Bank Park,Benjamin Cortus,Match Report,
12,Tue,2020-12-15,20:30,Werder Bremen,0.3,1–2,2.9,Dortmund,Weserstadion,Robert Schröder,Match Report,
12,Tue,2020-12-15,20:30,Stuttgart,2.0,2–2,0.7,Union Berlin,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
12,Tue,2020-12-15,20:30,Hertha BSC,0.8,0–0,0.8,Mainz 05,Olympiastadion Berlin,Matthias Jöllenbeck,Match Report,
12,Wed,2020-12-16,18:30,Schalke 04,0.5,0–2,1.2,Freiburg,Veltins-Arena,Sven Jablonski,Match Report,
12,Wed,2020-12-16,20:30,Hoffenheim,0.6,0–1,0.5,RB Leipzig,PreZero Arena,Daniel Schlager,Match Report,
12,Wed,2020-12-16,20:30,Arminia,0.6,0–1,0.4,Augsburg,SchücoArena,Patrick Ittrich,Match Report,
12,Wed,2020-12-16,20:30,Köln,0.4,0–4,1.6,Leverkusen,RheinEnergieSTADION,Tobias Stieler,Match Report,
12,Wed,2020-12-16,20:30,Bayern Munich,1.8,2–1,1.0,Wolfsburg,Allianz Arena,Marco Fritz,Match Report,
13,Fri,2020-12-18,20:30,Union Berlin,1.0,2–1,1.3,Dortmund,Stadion An der Alten Försterei,Harm Osmers,Match Report,
13,Sat,2020-12-19,15:30,Augsburg,1.6,0–2,2.2,Eint Frankfurt,WWK Arena,Daniel Siebert,Match Report,
13,Sat,2020-12-19,15:30,RB Leipzig,2.1,0–0,0.4,Köln,Red Bull Arena,Felix Brych,Match Report,
13,Sat,2020-12-19,15:30,Schalke 04,0.4,0–1,1.0,Arminia,Veltins-Arena,Bastian Dankert,Match Report,
13,Sat,2020-12-19,15:30,M'Gladbach,1.9,1–2,2.1,Hoffenheim,Stadion im Borussia-Park,Frank Willenborg,Match Report,
13,Sat,2020-12-19,15:30,Mainz 05,0.5,0–1,1.0,Werder Bremen,Opel Arena,Guido Winkmann,Match Report,
13,Sat,2020-12-19,18:30,Leverkusen,0.3,1–2,1.1,Bayern Munich,BayArena,Felix Zwayer,Match Report,
