Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
9,Sun,2020-11-22,16:45,RKC Waalwijk,2.4,1–1,1.9,Heerenveen,,Mandemakers Stadion,Christiaan Bax,Match Report,
9,Sun,2020-11-22,16:45,Twente,1.1,1–1,2.4,PSV Eindhoven,,De Grolsch Veste,Pol van Boekel,Match Report,
9,Sun,2020-11-22,20:00,AZ Alkmaar,3.2,1–0,0.3,Emmen,,AFAS Stadion,Marc Nagtegaal,Match Report,
10,Fri,2020-11-27,20:00,Twente,1.5,0–2,1.1,RKC Waalwijk,,De Grolsch Veste,Richard Martens,Match Report,
10,Sat,2020-11-28,18:45,Emmen,0.1,0–5,4.3,Ajax,,De Oude Meerdijk,Serdar Gözübüyük,Match Report,
10,Sat,2020-11-28,20:00,ADO Den Haag,0.7,1–1,2.5,Heerenveen,,Cars Jeans Stadion,Danny Makkelie,Match Report,
10,Sat,2020-11-28,21:00,VVV-Venlo,1.3,2–2,2.1,Zwolle,,Seacon Stadion De Koel,Rob Dieperink,Match Report,
10,Sun,2020-11-29,12:15,Vitesse,1.6,2–0,0.5,Fortuna Sittard,,GelreDome,Jochem Kamphuis,Match Report,
10,Sun,2020-11-29,14:30,Groningen,0.8,1–0,0.2,Willem II,,Hitachi Capital Mobility Stadion,Martin van den Kerkhof,Match Report,
10,Sun,2020-11-29,14:30,Feyenoord,0.9,1–1,2.0,Utrecht,,Stadion Feijenoord,Bas Nijhuis,Match Report,
10,Sun,2020-11-29,16:45,Heracles Almelo,0.2,1–2,2.3,AZ Alkmaar,,Erve Asito,Pol van Boekel,Match Report,
10,Sun,2020-11-29,20:00,PSV Eindhoven,1.2,1–0,1.1,Sparta R'dam,,Philips Stadion,Jeroen Manschot,Match Report,
11,Fri,2020-12-04,20:00,Sparta R'dam,0.7,2–1,1.1,Emmen,,Sparta-Stadion Het Kasteel,Jochem Kamphuis,Match Report,
11,Sat,2020-12-05,16:30,RKC Waalwijk,2.7,3–2,1.3,VVV-Venlo,,Mandemakers Stadion,Edwin van de Graaf,Match Report,
11,Sat,2020-12-05,18:45,Fortuna Sittard,1.6,3–2,0.5,Willem II,,Fortuna Sittard Stadion,Kevin Blom,Match Report,
11,Sat,2020-12-05,20:00,Ajax,2.2,1–2,0.7,Twente,,Johan Cruyff ArenA,Allard Lindhout,Match Report,
11,Sat,2020-12-05,21:00,Zwolle,3.2,2–1,1.7,Vitesse,,MAC³PARK Stadion,Dennis Higler,Match Report,
11,Sun,2020-12-06,12:15,Feyenoord,2.4,0–0,0.7,Heracles Almelo,,Stadion Feijenoord,Martin van den Kerkhof,Match Report,
11,Sun,2020-12-06,14:30,Utrecht,1.7,1–1,1.3,ADO Den Haag,,Stadion Galgenwaard,Sander Van der Eijk,Match Report,
